,0
"Probability of dying among adolescents ages 15-19 years (per 1,000)",13.70843137235294
"Probability of dying among children ages 5-9 years (per 1,000)",20.82748081811765
"Probability of dying among youth ages 20-24 years (per 1,000)",65.41619590156863
"Stillbirth rate (per 1,000 total births)",61.326797385490195
"Survival to age 65, female (% of cohort)",65.07591691222221
"Tuberculosis case detection rate (%, all forms)",61.18888888888888
Duration of compulsory education (years),8.270833333333334
"Gross enrolment ratio, lower secondary, both sexes (%)",62.1405769688372
"Gross enrolment ratio, lower secondary, female (%)",60.241274767441865
"Gross enrolment ratio, lower secondary, gender parity index (GPI)",0.9337741472790698
"Gross enrolment ratio, lower secondary, male (%)",63.82701017534883
"Gross enrolment ratio, primary and lower secondary, both sexes (%)",89.95916100047623
"Gross enrolment ratio, primary and lower secondary, female (%)",87.5891544990476
"Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)",0.9481025476190477
"Gross enrolment ratio, primary and lower secondary, male (%)",92.18703095619047
"Gross enrolment ratio, primary, both sexes (%)",104.21707175177777
"Gross enrolment ratio, primary, female (%)",101.33151875777774
"Gross enrolment ratio, primary, gender parity index (GPI)",0.9464788111111112
"Gross enrolment ratio, primary, male (%)",107.04276762511111
"Gross enrolment ratio, secondary, both sexes (%)",47.75478707216217
"Gross enrolment ratio, upper secondary, both sexes (%)",34.14759836
"Gross intake ratio to Grade 1 of primary education, both sexes (%)",115.18093657714286
"Gross intake ratio to Grade 1 of primary education, female (%)",111.85831979666666
"Gross intake ratio to Grade 1 of primary education, gender parity index (GPI)",0.9472256745714284
"Gross intake ratio to Grade 1 of primary education, male (%)",118.42754732690477
"Gross outbound enrolment ratio, all regions, both sexes (%)",1.207193378351351
Internet users (per 100 people),20.365211764423073
"Labor force, female (% of total labor force)_y",43.084348011903856
"Labor force, total",9486831.080769232
"Mortality rate, under-5 (per 1,000)_y",66.04903846153847
"Net enrolment rate, lower secondary, both sexes (%)",37.835118076923074
"New entrants to Grade 1 of primary education, percentage female (%)",47.880618877142865
Official entrance age to compulsory education (years),6.083333333333333
Official entrance age to early childhood education (years),3.138297872340425
Official entrance age to lower secondary education (years),12.11320754716981
Official entrance age to pre-primary education (years),3.4471698113207543
Official entrance age to primary education (years),6.150943396226415
Official entrance age to upper secondary education (years),15.584905660377359
Percentage of enrolment in lower secondary education in private institutions (%),18.24843998368293
Percentage of enrolment in primary education in private institutions (%),15.472901277714287
Percentage of enrolment in secondary education in private institutions (%),21.801962805555554
Percentage of enrolment in upper secondary education in private institutions (%),25.837685694771427
Percentage of students in lower secondary education who are female (%),47.24086392627906
Percentage of students in lower secondary general education who are female (%),47.37744205681819
Percentage of students in primary education who are female (%),47.867801984888885
Percentage of students in secondary education who are female (%),46.25405988297297
Percentage of students in secondary general education who are female (%),46.9687082575
Percentage of students in upper secondary education who are female (%),44.88569866216216
Percentage of students in upper secondary general education who are female (%),45.42169716659092
"Gross enrolment ratio, pre-primary, both sexes (%)",33.561783921674994
"Gross enrolment ratio, pre-primary, female (%)",33.57076746982501
"Gross enrolment ratio, pre-primary, gender parity index (GPI)",1.018034683325
"Gross enrolment ratio, pre-primary, male (%)",33.550075837175
"Outbound mobility ratio, all regions, both sexes (%)",7.885643229062502
Percentage of enrolment in pre-primary education in private institutions (%),43.11924794162162
Percentage of students in pre-primary education who are female (%),49.722914383500004
Percentage of students in tertiary education who are female (%),42.83980065666667
Percentage of students in early childhood education who are female (%),49.67147355111109
"Gross enrolment ratio, early childhood education, both sexes (%)",33.32197350571429
Language_African (other),0.018867924528301886
Language_Arabic,0.07547169811320754
Language_Asia (other),0.1320754716981132
Language_English,0.3018867924528302
Language_Europe (other),0.018867924528301886
Language_French,0.41509433962264153
Language_Portuguese,0.03773584905660377
Religion_Buddhist,0.03773584905660377
Religion_Christian,0.49056603773584906
Religion_Hindu,0.018867924528301886
Religion_Mixed,0.09433962264150944
Religion_Muslim,0.3584905660377358
Region_Central Asia,0.03773584905660377
Region_Latin America and Caribbean,0.05660377358490566
Region_Middle East and Northern Africa,0.03773584905660377
Region_Southeastern Asia,0.03773584905660377
Region_Southern Asia,0.05660377358490566
Region_Sub-Saharan Africa,0.7735849056603774
