,0
"Gross enrolment ratio, lower secondary, gender parity index (GPI)",1.004325343161765
"Gross enrolment ratio, lower secondary, male (%)",99.13889554764705
"Gross enrolment ratio, primary and lower secondary, both sexes (%)",100.99158467608694
"Gross enrolment ratio, primary and lower secondary, female (%)",100.93471536
"Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)",0.9990153430144927
"Gross enrolment ratio, primary and lower secondary, male (%)",101.06250265753621
"Gross enrolment ratio, primary, both sexes (%)",102.33499608885714
"Gross enrolment ratio, primary, female (%)",102.14784798071429
"Gross enrolment ratio, primary, gender parity index (GPI)",0.996516133357143
"Gross enrolment ratio, primary, male (%)",102.527111111
"Gross enrolment ratio, secondary, both sexes (%)",95.19751480015384
"Gross enrolment ratio, upper secondary, both sexes (%)",88.95726457695653
"Gross intake ratio to Grade 1 of primary education, both sexes (%)",100.86920431059701
"Gross intake ratio to Grade 1 of primary education, female (%)",100.71901520761192
"Gross intake ratio to Grade 1 of primary education, gender parity index (GPI)",0.9972798880895523
"Gross intake ratio to Grade 1 of primary education, male (%)",101.0208984644776
"Gross outbound enrolment ratio, all regions, both sexes (%)",3.114431963479452
Internet users (per 100 people),59.58712801177214
"Labor force, female (% of total labor force)_y",39.29705292012821
"Labor force, total",29599825.33589744
"Mortality rate, under-5 (per 1,000)_y",14.394805194805194
"Net enrolment rate, lower secondary, both sexes (%)",81.5826731864179
"New entrants to Grade 1 of primary education, percentage female (%)",48.5190254884507
Official entrance age to compulsory education (years),5.486666666666667
Official entrance age to early childhood education (years),2.3928571428571423
Official entrance age to lower secondary education (years),11.605128205128205
Official entrance age to pre-primary education (years),3.3044871794871797
Official entrance age to primary education (years),6.166666666666667
Official entrance age to upper secondary education (years),15.119230769230773
Percentage of enrolment in lower secondary education in private institutions (%),14.465246354347222
Percentage of enrolment in primary education in private institutions (%),12.48197141791781
Percentage of enrolment in secondary education in private institutions (%),16.40758866446377
Percentage of enrolment in upper secondary education in private institutions (%),18.65289127868571
Percentage of students in lower secondary education who are female (%),48.774209945068485
Percentage of students in lower secondary general education who are female (%),48.86777050891892
Percentage of students in primary education who are female (%),48.51617020729729
Percentage of students in secondary education who are female (%),49.170035459428576
Percentage of students in secondary general education who are female (%),50.219312360684924
Percentage of students in upper secondary education who are female (%),49.747762485972224
Percentage of students in upper secondary general education who are female (%),53.17627294082191
"Gross enrolment ratio, pre-primary, both sexes (%)",67.10876049850746
"Gross enrolment ratio, pre-primary, female (%)",67.01113939074628
"Gross enrolment ratio, pre-primary, gender parity index (GPI)",0.9986962686865674
"Gross enrolment ratio, pre-primary, male (%)",67.20278124432836
"Outbound mobility ratio, all regions, both sexes (%)",6.48324435732857
Percentage of enrolment in pre-primary education in private institutions (%),30.038374678399997
Percentage of students in pre-primary education who are female (%),48.569144530704214
Percentage of students in tertiary education who are female (%),54.36608657942029
Percentage of students in early childhood education who are female (%),48.593909430149246
"Gross enrolment ratio, early childhood education, both sexes (%)",53.58945201859375
Language_Arabic,0.13924050632911392
Language_Asia (other),0.16455696202531644
Language_Chinese,0.012658227848101266
Language_English,0.06329113924050633
Language_Europe (other),0.3037974683544304
Language_French,0.012658227848101266
Language_Hindi,0.012658227848101266
Language_Persian,0.012658227848101266
Language_Portuguese,0.02531645569620253
Language_Russian,0.02531645569620253
Language_Spanish,0.22784810126582278
Religion_Atheist,0.02531645569620253
Religion_Buddhist,0.06329113924050633
Religion_Christian,0.5822784810126582
Religion_Folk Religion,0.012658227848101266
Religion_Hindu,0.02531645569620253
Religion_Mixed,0.012658227848101266
Religion_Muslim,0.27848101265822783
Region_Central Asia,0.06329113924050633
Region_Eastern Asia,0.02531645569620253
Region_Eastern Europe,0.25316455696202533
Region_Latin America and Caribbean,0.26582278481012656
Region_Middle East and Northern Africa,0.16455696202531644
Region_Northern Europe,0.02531645569620253
Region_Southeastern Asia,0.0759493670886076
Region_Southern Asia,0.05063291139240506
Region_Southern Europe,0.05063291139240506
Region_Sub-Saharan Africa,0.02531645569620253
